Smoking,Wood,Treatment,SampleName,SampleNum,SalmonNum,Phenanthrene,Anthracene,Chrysene,Benzo(a)pyrene
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-1,A110324,1,735,133,36,6.61
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-2,A110325,2,858,175,76,10.9
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-3,A110326,3,464,89.3,36.1,5.17
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-4,A110327,4,366,75.7,33.4,6.43
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-5,A110328,5,520,120,45.8,6.8
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-6,A110329,6,664,136,98.7,23.8
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-7,A110330,7,567,106,56.3,9.47
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-8,A110331,8,451,89.7,30.2,5.22
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-9,A110332,9,431,82.7,21.6,4.5
Tipi,Alder,TipiAlder,Tipi-Alder-Salmon-10,A110333,10,688,135,29.8,4.3
Shed,Alder,ShedAlder,Shed-Alder-Salmon-1,A110334,1,352,82.6,29.1,6.06
Shed,Alder,ShedAlder,Shed-Alder-Salmon-2,A110335,2,523,99.2,23.4,3.91
Shed,Alder,ShedAlder,Shed-Alder-Salmon-3,A110336,3,984,192,44,8.42
Shed,Alder,ShedAlder,Shed-Alder-Salmon-4,A110337,4,949,194,52.7,10.1
Shed,Alder,ShedAlder,Shed-Alder-Salmon-5,A110338,5,1670,356,73.1,13
Shed,Alder,ShedAlder,Shed-Alder-Salmon-6,A110339,6,3780,850,273,54.2
Shed,Alder,ShedAlder,Shed-Alder-Salmon-7,A110340,7,1340,311,86.2,17.5
Shed,Alder,ShedAlder,Shed-Alder-Salmon-8,A110341,8,1800,369,122,24.5
Shed,Alder,ShedAlder,Shed-Alder-Salmon-9,A110342,9,1420,283,57.3,8.52
Shed,Alder,ShedAlder,Shed-Alder-Salmon-10,A110343,10,2430,522,117,22.4
